Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Bottle Up And Explode!	Elliott Smith		XO		Rock	6791048	178			11	14	1998	9/17/14, 10:06 AM	6/18/06, 2:41 AM	256	44100		Matched AAC audio file		local	25	9/17/14, 9:40 AM	5	9/17/14, 9:37 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Elliott Smith:XO:11 Bottle Up And Explode!.m4a
Sweet Adeline	Elliott Smith		XO		Rock	7638931	195			1	14	1998	2/7/13, 2:15 PM	6/18/06, 2:41 AM	256	44100		Matched AAC audio file		local	79	9/17/14, 9:43 AM	7	2/7/14, 2:44 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Elliott Smith:XO:01 Sweet Adeline.m4a
St. Ides Heaven	Elliott Smith		Elliott Smith		Alternative	6404101	180			9	12	1994	2/7/13, 2:13 PM	6/18/06, 2:41 AM	256	44100		Matched AAC audio file			77	9/17/14, 9:46 AM	1			nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Elliott Smith:Elliott Smith:09 St. Ides Heaven.m4a
Midnight City	M83	Anthony Gonzales, Morgan Kibby & Justin Medal-Johnsen	Hurry Up, We're Dreaming.		Alternative	8494307	243	1	2	2	11	2011	5/17/14, 3:19 PM	5/6/13, 12:56 AM	256	44100		Purchased AAC audio file			23	9/24/14, 9:36 AM	3	5/25/14, 4:54 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:M83:Hurry Up, We're Dreaming_:1-02 Midnight City.m4a
Stadium Love	Metric		Fantasies		Alternative	8686319	253	1	1	10	10	2009	5/17/14, 3:23 PM	5/5/13, 1:20 PM	256	44100		Purchased AAC audio file			24	9/5/14, 9:39 AM	4	4/25/14, 9:31 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Metric:Fantasies:10 Stadium Love.m4a
The Saltwater Room	Owl City	Adam Young	Ocean Eyes		Electronic	8776931	242	1	1	5	14	2009	2/2/13, 8:23 PM	9/30/12, 3:40 PM	256	44100		Purchased AAC audio file			117	9/4/14, 9:39 PM	2	3/24/14, 8:35 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Owl City:Ocean Eyes:05 The Saltwater Room.m4a
Weird Fishes / Arpeggi	Radiohead		In Rainbows		Alternative	10805151	318	1	1	4	10	2007	8/20/14, 7:54 AM	5/5/10, 6:51 PM	256	44100		Purchased AAC audio file			47	8/20/14, 8:00 AM	5	9/5/14, 9:56 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Radiohead:In Rainbows:04 Weird Fishes _ Arpeggi.m4a
The Sign	Ace of Base	Jonas "Joker" Berggren	Ace of Base: Greatest Hits		Pop	6890915	189	1	1	2	20	2008	9/8/14, 10:03 AM	8/14/11, 12:05 PM	256	44100		Purchased AAC audio file			8	9/8/14, 9:32 AM	1	2/21/14, 9:53 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Ace of Base:Ace of Base_ Greatest Hits:02 The Sign.m4a
All That She Wants	Ace of Base	Jonas Joker Berggren & Ulf Buddha Ekberg	Ace of Base: Greatest Hits		Pop	7510975	211	1	1	3	20	2008	9/8/14, 10:07 AM	8/14/11, 12:06 PM	256	44100		Purchased AAC audio file			8	4/25/14, 9:36 AM	3	3/5/14, 9:36 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Ace of Base:Ace of Base_ Greatest Hits:03 All That She Wants.m4a
Don't Turn Around	Ace of Base	Albert Hammond & Diane Warren	Ace of Base: Greatest Hits		Pop	8579519	228	1	1	9	20	2008	2/3/14, 10:11 AM	8/14/11, 12:05 PM	256	44100		Purchased AAC audio file			7	4/25/14, 9:40 AM	4	9/8/14, 9:33 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Ace of Base:Ace of Base_ Greatest Hits:09 Don't Turn Around.m4a
Da Funk (Album Version)	Daft Punk		Da Funk		Electronica/Dance	11646666	329	1	1	1	3	1996	2/7/13, 1:32 PM	2/23/09, 5:13 PM	256	44100		Matched AAC audio file			48	9/8/14, 9:39 AM	3	9/17/14, 9:57 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Daft Punk:Da Funk:01 Da Funk (Album Version).m4a
Op. 64: Romeo & Juliet - 0. Introduction	Lorin Maazel: Cleveland Orchestra	Prokofiev, Sergei (1891-1953)	Prokofiev: Romeo and Juliet;Maazel		Classical	5783444	158	1	2	1	22	1973	2/7/13, 6:43 PM	5/29/10, 12:17 PM	256	44100		Matched AAC audio file			5	4/25/14, 9:48 AM	4	9/17/14, 9:57 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Lorin Maazel_ Cleveland Orchestra:Prokofiev_ Romeo and Juliet;Maazel:1-01 Op. 64_ Romeo & Juliet - 0. Introduction.m4a
Prokofiev: Romeo & Juliet - Dance Of The Knights	Lorin Maazel: Cleveland Orchestra	Prokofiev, Sergei (1891-1953)	Prokofiev: Romeo and Juliet;Maazel		Classical	10757396	307	1	2	11	22	1973	2/7/13, 6:44 PM	5/29/10, 12:22 PM	256	44100		Matched AAC audio file			2	8/29/14, 9:49 AM	4	9/17/14, 9:57 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Lorin Maazel_ Cleveland Orchestra:Prokofiev_ Romeo and Juliet;Maazel:1-11 Prokofiev_ Romeo & Juliet - Dance Of The Knights.m4a
Microlite	Trophy Wife		Microlite - Single		Alternative	8595134	247	1	1	1	2	2010	5/17/14, 1:33 PM	4/6/14, 12:55 PM	256	44100		Purchased AAC audio file			5	7/1/14, 12:15 AM	2	9/17/14, 9:57 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Trophy Wife:Microlite - Single:01 Microlite.m4a
Sirens (Extended Version)	Starlings	Tom Hudson, Spencer Marsh, Justin Robson & Simon Poole	Sirens - EP		Pop	7301469	206	1	1	5	5	2011	5/17/14, 1:46 PM	4/6/14, 12:25 PM	256	44100		Purchased AAC audio file			5	8/6/14, 2:47 AM	1	4/7/14, 9:50 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Starlings:Sirens - EP:05 Sirens (Extended Version).m4a
Dark Arts (Radio Mix)	Starlings	Justin Robson, Simon Poole, Spencer Marsh & Tom Hudson	Dark Arts (Deluxe Edition) [Remixes]		Electronic	7526260	210	1	1	1	7	2011	5/17/14, 1:49 PM	4/6/14, 12:21 PM	256	44100		Purchased AAC audio file			7	8/6/14, 2:50 AM	1	4/6/14, 7:13 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Starlings:Dark Arts (Deluxe Edition) [Remixes]:01 Dark Arts (Radio Mix).m4a
Strobe (Club Edit)	deadmau5		Strobe		Dance	13134250	379	1	1	2	6	2010	8/25/14, 1:04 PM	2/17/13, 3:48 PM	256	44100		Purchased AAC audio file			25	5/20/14, 9:38 AM	7	9/17/14, 9:35 AM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:Deadmau5:Strobe:02 Strobe (Club Edit).m4a
Florida	STRFKR		Starfucker		Alternative	8393614	230	1	1	1	11	2008	7/30/14, 10:22 AM	7/30/14, 9:55 AM	256	44100		Purchased AAC audio file			11	10/7/14, 7:28 PM	1	8/28/14, 12:12 PM		nijinsky:Users:chris:Music:iTunes:iTunes Media:Music:STRFKR:Starfucker:01 Florida.m4a
